0,0,0,0,255
1,215,200,222,255
2,15,21,85,255
3,186,233,245,255
4,18,19,88,255
5,239,184,212,255
6,76,5,44,255
7,178,224,222,255
8,5,36,87,255
9,123,251,232,255
10,85,51,10,255
11,148,198,245,255
12,47,24,111,255
13,251,144,188,255
14,47,88,51,255
15,177,151,238,255
16,10,149,37,255
17,231,176,158,255
18,17,68,116,255
19,132,179,252,255
20,83,1,121,255
21,130,183,238,255
22,168,7,62,255
23,215,237,83,255
24,95,117,30,255
25,184,251,98,255
26,121,32,101,255
27,250,185,97,255
28,62,115,95,255
29,251,235,44,255
30,45,158,71,255
31,134,254,141,255
32,208,0,66,255
33,211,213,103,255
34,33,83,159,255
35,196,70,253,255
36,88,19,172,255
37,220,62,236,255
38,97,182,0,255
39,138,204,165,255
40,63,216,3,255
41,198,152,149,255
42,8,165,110,255
43,150,196,152,255
44,66,152,67,255
45,117,252,128,255
46,65,137,86,255
47,252,224,19,255
48,200,12,81,255
49,70,208,209,255
50,162,85,50,255
51,105,150,229,255
52,19,159,124,255
53,169,78,232,255
54,87,69,148,255
55,220,107,152,255
56,148,122,39,255
57,96,140,243,255
58,47,39,224,255
59,153,111,213,255
60,97,59,156,255
61,249,120,107,255
62,129,41,142,255
63,132,111,229,255
64,135,8,171,255
65,234,132,106,255
66,14,81,220,255
67,57,214,198,255
68,106,85,125,255
69,107,128,226,255
70,76,19,224,255
71,61,245,151,255
72,51,223,45,255
73,39,231,185,255
74,91,172,65,255
75,164,240,51,255
76,99,145,85,255
77,219,231,2,255
78,29,139,164,255
79,171,56,219,255
80,140,192,3,255
81,89,101,255,255
82,242,14,80,255
83,32,199,213,255
84,228,160,100,255
85,61,219,162,255
86,153,125,62,255
87,111,198,130,255
88,80,167,100,255
89,112,92,234,255
90,151,170,28,255
91,241,167,29,255
92,1,101,252,255
93,158,204,74,255
94,139,216,0,255
95,229,105,98,255
96,125,216,15,255
97,204,91,132,255
98,72,229,57,255
99,153,46,224,255
100,42,77,241,255
101,160,99,158,255
102,86,84,191,255
103,26,181,210,255
104,132,42,193,255
105,246,71,98,255
106,171,77,120,255
107,61,101,252,255
108,110,212,58,255
109,237,74,102,255
110,53,218,111,255
111,35,201,176,255
112,12,239,133,255
113,58,111,242,255
114,235,2,148,255
115,160,102,146,255
116,88,123,178,255
117,208,134,63,255
118,130,16,243,255
119,141,202,60,255
120,240,124,26,255
121,151,208,42,255
122,141,170,80,255
123,174,133,94,255
124,192,169,32,255
125,66,78,255,255
126,100,66,227,255
127,66,218,112,255
128,197,85,112,255
